video_id,song_name,artist_name,views,likes,comments,chart_position,collection_date
yt_ed_sheeran_&_elton_john_merry_christmas_[official_video],Merry Christmas [Official Video],Ed Sheeran & Elton John,563991,0,0,160,2025-12-08
yt_eagles_hotel_california_(live_1977)_(official_video)_[hd],Hotel California (Live 1977) (Official Video) [HD],Eagles,562180,0,0,161,2025-12-08
"yt_ishq_sufiyana_lyrical_|_the_dirty_picture_|_emraan_hashmi,vidya_balan_|_vishal_shekhar",Shekhar,"Ishq Sufiyana Lyrical | The Dirty Picture | Emraan Hashmi,Vidya Balan | Vishal",559517,0,0,162,2025-12-08
yt_unknown_khesari_lal_new_song_|_kamariya_mein_peer_|_neelam_giri_|_new_bhojpuri_song_|_bhojpuri_ga,Khesari Lal New Song | Kamariya Mein Peer | Neelam Giri | New Bhojpuri Song | Bhojpuri Gana,Unknown,556947,0,0,163,2025-12-08
yt_ed_sheeran_perfect_(official_music_video),Perfect (Official Music Video),Ed Sheeran,551265,0,0,164,2025-12-08
yt_jlexis_x_michael_flores_x_shadow_blow_x_alofoke_music_me_toco_verte_brillar,ME TOCO VERTE BRILLAR,JLEXIS X MICHAEL FLORES X SHADOW BLOW X ALOFOKE MUSIC,550786,0,0,165,2025-12-08
"yt_unknown_lyrical_|_tum_ho_toh_song_|_saiyaara_|_ahaan,_aneet_|_vishal_mishra,_hansika_pareek_|_raj","Lyrical | Tum Ho Toh Song | Saiyaara | Ahaan, Aneet | Vishal Mishra, Hansika Pareek | Raj Shekhar",Unknown,549549,0,0,166,2025-12-08
"yt_léo_santana,_melody_desliza_(""ólhinho""_no_corpinho)","Desliza (""Ólhinho"" No Corpinho)","Léo Santana, Melody",547770,0,0,167,2025-12-08
yt_yng_lvcas_&_peso_pluma_la_bebe_(remix)_[video_oficial],La Bebe (Remix) [Video Oficial],Yng Lvcas & Peso Pluma,547643,0,0,168,2025-12-08
"yt_unknown_dhun_song_|_saiyaara_|_ahaan_panday,_aneet_padda_|_mithoon_|_arijit_singh","Dhun Song | Saiyaara | Ahaan Panday, Aneet Padda | Mithoon | Arijit Singh",Unknown,546958,0,0,169,2025-12-08
yt_in_the_end_[official_hd_music_video]_linkin_park,Linkin Park,In The End [Official HD Music Video],546805,0,0,170,2025-12-08
yt_monica_lyric_video|_coolie_|_superstar_rajinikanth_|_sun_pictures_|_lokesh_|_anirudh_|_pooja_hegd,Lyric Video| COOLIE | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh | Pooja Hegde,Monica,546108,0,0,171,2025-12-08
yt_nueva_vida_(lyric_video)_peso_pluma,Peso Pluma,NUEVA VIDA (Lyric Video),546040,0,0,172,2025-12-08
"yt_unknown_#video_|_सड़िया_करिया_|_#ankush_raja,_#karishma_kakkar_|_sadiya_kariya_|_new_bhojpuri_song","#Video | सड़िया करिया | #Ankush Raja, #Karishma Kakkar | Sadiya Kariya | New Bhojpuri Song",Unknown,545552,0,0,173,2025-12-08
yt_official_video:_humnava_mere_song_|_jubin_nautiyal_|_manoj_muntashir_|_rocky_shiv_|_bhushan_kumar,Shiv | Bhushan Kumar,Official Video: Humnava Mere Song | Jubin Nautiyal | Manoj Muntashir | Rocky,545320,0,0,174,2025-12-08
yt_shakira_hips_don't_lie_(featuring_wyclef_jean)_(official_4k_video)_ft._wyclef_jean,Hips Don't Lie (featuring Wyclef Jean) (Official 4K Video) ft. Wyclef Jean,Shakira,544625,0,0,175,2025-12-08
yt_#video_#pawan_singh_-_राजाजी_के_दिलवा_|_#shivani_singh_|_rajaji_ke_dilwa_|_new_bhojpuri_song_2023,#Pawan Singh - राजाजी के दिलवा | #Shivani Singh | Rajaji Ke Dilwa | New Bhojpuri Song 2023,#Video,543556,0,0,176,2025-12-08
yt_los_ángeles_azules_nunca_es_suficiente_ft._natalia_lafourcade_(live),Nunca Es Suficiente ft. Natalia Lafourcade (Live),Los Ángeles Azules,542204,0,0,177,2025-12-08
"yt_sefo,_demet_akalın_yerinde_dur_(official_video)",Yerinde Dur (Official Video),"Sefo, Demet Akalın",540988,0,0,178,2025-12-08
yt_youngohm_ใจฉันตามเธอไป_(official_video),ใจฉันตามเธอไป (Official Video),YOUNGOHM,540834,0,0,179,2025-12-08
yt_rag'n'bone_man_human_(official_video),Human (Official Video),Rag'n'Bone Man,540633,0,0,180,2025-12-08
yt_unknown_'abhi_toh_party_shuru_hui_hai'_full_video_song_|_khoobsurat_|_badshah_|_sonam_kapoor_|_aa,'Abhi Toh Party Shuru Hui Hai' Full Video Song | Khoobsurat | Badshah | Sonam Kapoor | Aastha,Unknown,532600,0,0,181,2025-12-08
yt_sia_unstoppable_(official_video_-_live_from_the_nostalgic_for_the_present_tour),Unstoppable (Official Video - Live from the Nostalgic For The Present Tour),Sia,532590,0,0,182,2025-12-08
