song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
How Bad Do U Want Me,Lady Gaga,42,0,42,2025-09-01
In the Air Tonight,Sons of Legion,28,0,28,2025-09-01
Atlas,Pommelien Thijs,49,0,49,2025-09-01
I'm The Problem,Morgan Wallen,201,0,201,2025-09-01
BREAK THE LIMITATION,ŹOOĻ,2,0,2,2025-09-01
Hausparty,RIAN,57,0,57,2025-09-01
Nothing's Gonna Stop Us Now,Starship,92,0,92,2025-09-01
Lose Yourself,Eminem,503,0,503,2025-09-01
Your Love,The Outfield,60,0,60,2025-09-01
ROSE,HANA,131,0,131,2025-09-01
DtMF,Bad Bunny,133,0,133,2025-09-01
Liar,Jelly Roll,320,0,320,2025-09-01
Make It Rain,Riley Green,3,0,3,2025-09-01
zutto love song,VAUNDY,6,0,6,2025-09-01
Ninety - Two,Paul Kalkbrenner,11,0,11,2025-09-01
NUEVAYoL,Bad Bunny,106,0,106,2025-09-01
Rein Me In,Sam Fender & Olivia Dean,49,0,49,2025-09-01
Charger,TRIANGLE DES BERMUDES,39,0,39,2025-09-01
God Is a Weapon,Falling In Reverse,46,0,46,2025-09-01
"Mama, I'm Coming Home",Ozzy Osbourne,47,0,47,2025-09-01
Somebody That I Used to Know,Gotye,1691,0,1691,2025-09-01
Michi Teyu Ku,Fujii Kaze,78,0,78,2025-09-01
Eye of the Tiger,Survivor,189,0,189,2025-09-01
feelslikeimfallinginlove,Coldplay,230,0,230,2025-09-01
It Depends,Chris Brown,37,0,37,2025-09-01
TABOLA BALE,"Silet Open Up, Jacson Seran, Juan Reza & Diva Aurel",23,0,23,2025-09-01
Ao To Natsu,Mrs. Green Apple,247,0,247,2025-09-01
YUKON,Justin Bieber,27,0,27,2025-09-01
